season,holiday,workingday,weather,temp,atemp,humidity,windspeed,rent
1,0,0,1,9.02,11.365,47,11.0014,2.197224577336219
1,0,1,1,9.02,9.85,44,23.9994,1.791759469228055
1,0,1,1,8.2,8.335,44,27.9993,1.0986122886681096
1,0,1,1,6.56,6.82,47,26.0027,0.6931471805599453
1,0,1,1,6.56,6.82,47,19.0012,1.3862943611198906
1,0,1,1,5.74,5.305,50,26.0027,3.4339872044851463
1,0,1,1,5.74,6.82,50,12.998,4.174387269895637
1,0,1,1,5.74,6.06,50,19.0012,5.043425116919247
1,0,1,1,6.56,6.82,43,26.0027,4.48863636973214
1,0,1,1,7.38,8.335,43,16.9979,3.8066624897703196
1,0,1,1,8.2,9.09,40,22.0028,3.951243718581427
1,0,1,1,9.02,10.605,35,19.9995,4.127134385045092
1,0,1,1,9.84,10.605,35,19.0012,4.127134385045092
1,0,1,1,10.66,12.12,30,19.0012,4.356708826689592
1,0,1,1,10.66,12.12,30,16.9979,4.290459441148391
1,0,1,1,10.66,12.12,30,16.9979,4.343805421853684
1,0,1,1,9.84,11.365,30,15.0013,5.062595033026967
1,0,1,1,9.84,12.88,32,7.0015,5.062595033026967
1,0,1,1,8.2,12.88,47,0.0,4.709530201312334
1,0,1,1,8.2,11.365,47,7.0015,3.9702919135521215
1,0,1,1,7.38,9.85,64,8.9981,3.9702919135521215
1,0,1,1,5.74,7.575,69,8.9981,3.044522437723423
1,0,1,1,7.38,10.605,55,7.0015,2.5649493574615367
1,0,1,1,6.56,9.09,55,7.0015,1.791759469228055
1,0,1,1,6.56,9.09,59,7.0015,1.0986122886681096
1,0,1,1,5.74,7.575,63,8.9981,0.6931471805599453
1,0,1,1,5.74,9.09,63,6.0032,1.0986122886681096
1,0,1,1,4.92,7.575,68,7.0015,1.6094379124341003
1,0,1,1,4.92,7.575,74,7.0015,3.6109179126442243
1,0,1,1,4.92,7.575,74,8.9981,4.553876891600541
1,0,1,1,5.74,7.575,69,11.0014,5.19295685089021
1,0,1,1,6.56,7.575,64,15.0013,4.61512051684126
1,0,1,2,6.56,6.82,69,22.0028,3.7612001156935624
1,0,1,1,9.02,10.605,51,19.9995,4.060443010546419
1,0,1,1,9.02,11.365,51,11.0014,4.3694478524670215
1,0,1,1,9.84,11.365,56,12.998,4.584967478670571
1,0,1,1,10.66,12.88,52,15.0013,4.1588830833596715
1,0,1,1,11.48,13.635,52,16.9979,4.189654742026425
1,0,1,1,12.3,14.395,49,16.9979,4.430816798843313
1,0,1,1,11.48,13.635,48,15.0013,5.361292165709425
1,0,1,1,10.66,12.88,48,12.998,5.2094861528414205
1,0,1,1,9.84,12.88,48,7.0015,4.727387818712341
1,0,1,1,9.84,12.88,48,7.0015,4.007333185232471
1,0,1,1,9.02,13.635,64,0.0,3.8918202981106265
1,0,1,1,9.02,12.88,64,6.0032,3.58351893845611
1,0,1,1,8.2,11.365,69,6.0032,2.4849066497880004
1,0,1,1,8.2,12.88,64,0.0,1.9459101490553132
1,0,1,1,6.56,9.85,74,6.0032,1.9459101490553132
1,0,1,1,6.56,9.85,74,6.0032,1.0986122886681096
1,0,1,1,9.84,11.365,48,15.0013,1.0986122886681096
1,0,1,1,9.02,11.365,47,11.0014,1.3862943611198906
1,0,1,1,8.2,9.85,47,15.0013,3.526360524616161
1,0,1,1,7.38,9.09,43,12.998,4.48863636973214
1,0,1,1,8.2,9.09,40,19.9995,5.278114659230517
1,0,1,1,9.02,9.85,37,22.0028,4.7535901911063645
1,0,1,1,9.02,9.85,37,22.0028,4.060443010546419
1,0,1,1,10.66,11.365,33,22.0028,3.8501476017100584
1,0,1,1,10.66,11.365,33,22.0028,4.382026634673881
1,0,1,1,11.48,12.88,30,19.9995,4.276666119016055
1,0,1,1,12.3,14.395,28,12.998,4.143134726391533
1,0,1,1,12.3,14.395,28,12.998,4.143134726391533
1,0,1,1,12.3,15.91,28,6.0032,4.499809670330265
1,0,1,1,9.84,11.365,38,12.998,5.25227342804663
1,0,1,1,9.84,12.12,38,8.9981,5.135798437050261
1,0,1,1,9.84,12.88,38,7.0015,4.890349128221754
1,0,1,1,9.02,11.365,47,11.0014,4.499809670330265
1,0,1,1,8.2,9.85,51,12.998,3.784189633918261
1,0,1,1,7.38,9.85,55,8.9981,3.7612001156935624
1,0,1,1,8.2,12.88,47,0.0,2.995732273553991
1,0,1,1,7.38,12.12,55,0.0,2.4849066497880004
1,0,1,1,6.56,11.365,64,0.0,1.6094379124341003
1,0,1,1,6.56,11.365,64,0.0,1.0986122886681096
1,0,1,2,6.56,9.85,64,6.0032,0.6931471805599453
1,0,1,2,5.74,9.09,69,6.0032,1.6094379124341003
1,0,1,2,5.74,8.335,63,7.0015,3.6109179126442243
1,0,1,2,6.56,11.365,59,0.0,4.564348191467836
1,0,1,1,6.56,11.365,59,0.0,5.393627546352361
1,0,1,2,7.38,12.12,51,0.0,4.812184355372417
1,0,1,1,8.2,12.88,47,0.0,3.828641396489095
1,0,1,1,9.02,12.88,44,6.0032,4.0943445622221
1,0,1,1,10.66,14.395,35,0.0,4.442651256490317
1,0,1,1,10.66,13.635,35,7.0015,4.219507705176107
1,0,1,1,11.48,13.635,36,11.0014,4.2626798770413155
1,0,1,1,11.48,13.635,36,0.0,4.143134726391533
1,0,1,1,10.66,12.88,38,11.0014,4.465908118654584
1,0,1,1,9.02,11.365,51,11.0014,5.153291594497778
1,0,1,1,9.02,11.365,51,8.9981,5.099866427824198
1,0,1,1,9.02,12.88,55,6.0032,4.727387818712341
1,0,1,1,8.2,10.605,51,11.0014,4.2484952420493585
1,0,1,2,9.02,10.605,55,15.0013,3.8918202981106265
1,0,1,2,9.02,10.605,51,19.0012,3.9702919135521215
1,0,1,2,8.2,9.85,59,12.998,3.1780538303479453
1,0,1,2,8.2,9.85,64,12.998,2.8903717578961645
1,0,1,2,8.2,9.85,69,15.0013,2.0794415416798357
1,0,1,2,8.2,9.85,69,15.0013,0.6931471805599453
1,0,1,2,8.2,10.605,69,8.9981,0.6931471805599453
1,0,1,3,9.02,13.635,55,0.0,1.791759469228055
1,0,1,2,8.2,12.88,69,0.0,3.5553480614894135
1,0,1,1,8.2,10.605,69,8.9981,4.442651256490317
1,0,1,1,8.2,9.85,51,16.9979,5.351858133476067
1,0,1,1,8.2,9.09,47,19.9995,4.90527477843843
1,0,1,1,9.02,9.85,37,22.0028,4.1588830833596715
1,0,1,2,8.2,9.85,40,15.0013,4.219507705176107
1,0,1,2,8.2,9.85,37,16.9979,4.0943445622221
1,0,1,2,8.2,9.09,37,19.0012,4.304065093204169
1,0,1,2,8.2,9.85,40,16.9979,3.9318256327243257
1,0,1,2,8.2,10.605,37,11.0014,4.290459441148391
1,0,1,2,8.2,10.605,37,11.0014,4.477336814478206
1,0,1,2,8.2,12.88,37,0.0,5.236441962829949
1,0,1,1,8.2,11.365,40,6.0032,4.820281565605037
1,0,1,1,6.56,9.85,55,6.0032,4.564348191467836
1,0,1,1,7.38,10.605,47,7.0015,3.951243718581427
1,0,1,1,7.38,9.85,47,8.9981,3.6888794541139363
1,0,1,2,7.38,9.85,43,11.0014,3.6109179126442243
1,0,1,2,7.38,9.85,51,11.0014,2.772588722239781
1,0,0,2,7.38,9.85,51,11.0014,3.2580965380214817
1,0,0,2,7.38,10.605,55,6.0032,2.833213344056216
1,0,0,2,7.38,12.12,55,0.0,2.833213344056216
1,0,0,3,7.38,9.85,55,11.0014,2.0794415416798357
1,0,0,3,7.38,9.85,55,11.0014,0.6931471805599453
1,0,0,2,6.56,8.335,74,11.0014,1.791759469228055
1,0,0,2,6.56,8.335,74,11.0014,1.0986122886681096
1,0,0,2,6.56,9.09,74,7.0015,2.3025850929940455
1,0,0,3,6.56,9.09,93,7.0015,2.772588722239781
1,0,0,3,6.56,9.09,93,7.0015,3.044522437723423
1,0,0,2,7.38,9.85,80,11.0014,4.127134385045092
1,0,0,2,8.2,9.09,69,26.0027,4.143134726391533
1,0,0,2,8.2,9.09,59,23.9994,4.59511985013459
1,0,0,1,8.2,9.09,44,22.0028,4.634728988229636
1,0,0,1,8.2,8.335,32,32.9975,4.564348191467836
1,0,0,1,8.2,8.335,32,30.0026,4.31748811353631
1,0,0,1,7.38,6.82,29,30.0026,4.343805421853684
1,0,0,1,6.56,6.06,37,36.9974,4.2484952420493585
1,0,0,1,5.74,6.06,39,19.9995,4.025351690735149
1,0,0,1,5.74,6.06,36,16.9979,3.4339872044851463
1,0,0,1,4.92,6.06,36,16.9979,3.3672958299864737
1,0,0,1,4.92,5.305,39,23.9994,3.6375861597263857
1,0,0,1,4.92,5.305,36,26.0027,3.5553480614894135
1,0,0,1,4.1,3.03,39,30.0026,3.1354942159291497
1,0,0,1,4.1,3.79,42,26.0027,3.2580965380214817
1,0,0,1,4.1,3.03,42,31.0009,2.5649493574615367
1,0,0,1,4.1,3.03,46,31.0009,2.4849066497880004
1,0,0,1,4.1,3.79,46,27.9993,1.6094379124341003
1,0,0,1,3.28,4.545,53,12.998,0.6931471805599453
1,0,0,1,3.28,4.545,53,12.998,0.6931471805599453
1,0,0,1,4.1,4.545,49,19.0012,0.6931471805599453
1,0,0,1,3.28,4.545,53,12.998,1.9459101490553132
1,0,0,1,4.1,4.545,49,19.0012,2.3978952727983707
1,0,0,1,4.92,3.79,46,35.0008,2.995732273553991
1,0,0,1,5.74,5.305,43,26.0027,3.912023005428146
1,0,0,1,6.56,6.06,40,35.0008,3.912023005428146
1,0,0,1,7.38,6.82,37,30.0026,4.430816798843313
1,0,0,1,8.2,8.335,34,30.0026,4.330733340286331
1,0,0,1,9.02,9.09,32,31.0009,4.290459441148391
1,0,0,1,9.02,9.85,35,23.9994,4.418840607796597
1,0,0,1,8.2,8.335,34,30.0026,4.532599493153255
1,0,0,1,7.38,7.575,37,26.0027,4.143134726391533
1,0,0,1,6.56,6.82,40,22.0028,3.8918202981106265
1,0,0,1,6.56,6.82,43,22.0028,3.737669618283368
1,0,0,1,5.74,6.06,46,16.9979,3.6635616461296463
1,0,0,1,5.74,5.305,46,27.9993,3.044522437723423
1,0,0,1,5.74,6.06,46,19.9995,2.772588722239781
1,0,0,1,4.92,6.82,50,12.998,1.9459101490553132
1,0,1,1,4.92,6.06,50,19.0012,1.791759469228055
1,0,1,1,4.92,6.06,50,19.0012,0.6931471805599453
1,0,1,1,4.92,6.06,50,15.0013,1.3862943611198906
1,0,1,1,4.92,6.06,50,15.0013,0.6931471805599453
1,0,1,1,4.1,6.06,54,8.9981,1.3862943611198906
1,0,1,1,4.1,5.305,54,16.9979,1.3862943611198906
1,0,1,1,4.92,6.06,50,19.0012,3.4657359027997265
1,0,1,1,4.92,6.06,50,15.0013,4.356708826689592
1,0,1,2,4.92,6.06,50,19.0012,5.241747015059643
1,0,1,2,5.74,6.06,50,16.9979,4.553876891600541
1,0,1,2,5.74,6.06,50,19.9995,3.4657359027997265
1,0,1,2,6.56,6.82,47,19.0012,3.4339872044851463
1,0,1,2,8.2,9.09,40,19.0012,3.9702919135521215
1,0,1,2,8.2,9.09,40,19.0012,4.007333185232471
1,0,1,2,8.2,9.85,40,15.0013,3.8712010109078907
1,0,1,2,8.2,9.85,40,15.0013,3.828641396489095
1,0,1,1,8.2,10.605,40,8.9981,4.31748811353631
1,0,1,1,8.2,11.365,40,7.0015,5.187385805840755
1,0,1,1,8.2,9.85,40,15.0013,5.049856007249537
1,0,1,1,6.56,8.335,47,11.0014,4.564348191467836
1,0,1,1,6.56,8.335,50,11.0014,4.31748811353631
1,0,1,1,5.74,6.82,59,12.998,3.6635616461296463
1,0,1,1,5.74,7.575,59,11.0014,3.2188758248682006
1,0,1,1,5.74,7.575,59,11.0014,2.9444389791664403
1,0,1,1,5.74,8.335,59,7.0015,2.5649493574615367
1,0,1,1,5.74,7.575,59,11.0014,1.3862943611198906
1,0,1,2,6.56,7.575,55,12.998,1.3862943611198906
1,0,1,2,6.56,9.09,55,8.9981,1.9459101490553132
1,0,1,2,6.56,9.09,55,8.9981,3.332204510175204
1,0,1,2,6.56,11.365,55,0.0,4.605170185988091
1,0,1,2,7.38,10.605,51,6.0032,5.384495062789089
1,0,1,2,7.38,9.85,51,11.0014,4.875197323201151
1,0,1,2,8.2,10.605,51,11.0014,4.007333185232471
1,0,1,2,8.2,10.605,47,8.9981,3.58351893845611
1,0,1,2,8.2,11.365,51,7.0015,4.060443010546419
1,0,1,2,8.2,11.365,59,6.0032,3.9702919135521215
1,0,1,2,8.2,11.365,59,6.0032,4.1588830833596715
1,0,1,2,6.56,9.85,80,6.0032,3.8712010109078907
1,0,1,2,6.56,7.575,86,15.0013,4.343805421853684
1,0,1,2,6.56,7.575,86,15.0013,4.919980925828125
1,0,1,3,6.56,9.09,93,7.0015,4.564348191467836
1,0,1,3,6.56,11.365,93,0.0,3.951243718581427
1,0,1,3,6.56,7.575,93,12.998,3.4965075614664802
1,0,1,3,6.56,9.85,86,6.0032,3.044522437723423
1,0,1,3,6.56,9.09,93,7.0015,3.4011973816621555
1,0,1,3,6.56,9.85,93,6.0032,2.995732273553991
1,0,1,2,6.56,9.85,86,6.0032,2.0794415416798357
1,0,1,2,6.56,9.09,86,7.0015,1.9459101490553132
1,0,1,1,5.74,7.575,86,8.9981,0.6931471805599453
1,0,1,1,5.74,7.575,86,11.0014,1.791759469228055
1,0,1,1,4.92,7.575,93,8.9981,2.833213344056216
1,0,1,1,5.74,7.575,69,8.9981,4.007333185232471
1,0,1,1,6.56,8.335,59,11.0014,4.859812404361672
1,0,1,1,6.56,6.82,59,22.0028,4.406719247264253
1,0,1,1,7.38,9.09,55,15.0013,3.6888794541139363
1,0,1,1,8.2,9.09,51,26.0027,3.58351893845611
1,0,1,1,8.2,7.575,47,39.0007,4.025351690735149
1,0,1,1,9.02,9.85,44,23.9994,3.912023005428146
1,0,1,1,8.2,9.09,47,22.0028,3.8066624897703196
1,0,1,1,8.2,8.335,47,27.9993,3.912023005428146
1,0,1,1,9.02,9.85,44,22.0028,4.23410650459726
1,0,1,1,8.2,9.09,47,23.9994,4.941642422609304
1,0,1,1,8.2,7.575,47,35.0008,4.927253685157204
1,0,1,1,7.38,7.575,47,27.9993,4.430816798843313
1,0,1,1,6.56,6.82,50,22.0028,4.04305126783455
1,0,1,1,6.56,6.82,55,22.0028,4.060443010546419
1,0,1,1,6.56,6.06,55,30.0026,3.526360524616161
1,0,1,1,5.74,5.305,59,27.9993,3.044522437723423
1,0,1,1,5.74,6.06,59,19.0012,2.0794415416798357
1,0,1,1,5.74,6.06,50,19.0012,1.0986122886681096
1,0,1,1,5.74,6.06,50,23.9994,1.0986122886681096
1,0,1,1,5.74,6.06,50,22.0028,1.3862943611198906
1,0,1,1,5.74,6.06,50,16.9979,1.6094379124341003
1,0,1,1,5.74,6.06,50,19.9995,1.3862943611198906
1,0,1,1,4.92,7.575,54,8.9981,3.3672958299864737
1,0,1,1,4.92,7.575,54,8.9981,4.290459441148391
1,0,1,1,5.74,6.82,50,12.998,5.313205979041787
1,0,1,1,5.74,6.06,50,22.0028,4.941642422609304
1,0,1,2,6.56,6.82,50,23.9994,3.6635616461296463
1,0,1,2,8.2,8.335,44,30.0026,3.6375861597263857
1,0,1,1,8.2,8.335,44,27.9993,3.9702919135521215
1,0,1,1,9.02,9.85,41,30.0026,4.430816798843313
1,0,1,1,9.02,9.85,41,26.0027,3.7612001156935624
1,0,1,1,9.84,10.605,38,19.9995,4.110873864173311
1,0,1,1,9.84,10.605,38,23.9994,4.3694478524670215
1,0,1,1,8.2,9.09,40,19.0012,5.093750200806762
1,0,1,1,8.2,9.09,40,22.0028,4.976733742420574
1,0,1,1,6.56,7.575,47,16.9979,4.605170185988091
1,0,1,1,6.56,7.575,47,15.0013,4.174387269895637
1,0,1,1,5.74,6.06,46,19.9995,3.7135720667043075
1,0,1,1,5.74,6.06,46,22.0028,3.4339872044851463
1,0,1,1,4.92,6.82,50,12.998,2.772588722239781
1,0,1,1,4.92,6.82,50,12.998,2.70805020110221
1,0,1,1,4.1,6.06,54,11.0014,1.791759469228055
1,0,1,1,4.1,6.06,54,8.9981,0.6931471805599453
1,0,1,1,4.1,6.82,54,7.0015,0.6931471805599453
1,0,1,1,4.1,6.82,54,6.0032,2.197224577336219
1,0,1,1,4.1,9.09,54,0.0,2.8903717578961645
1,0,1,1,4.1,6.06,74,11.0014,4.2626798770413155
1,0,1,1,4.92,8.335,68,0.0,5.0689042022202315
1,0,1,1,5.74,7.575,69,8.9981,4.770684624465664
1,0,1,1,7.38,9.09,55,12.998,3.8066624897703196
1,0,1,1,7.38,8.335,51,19.0012,3.988984046564274
1,0,1,1,8.2,9.85,44,16.9979,4.127134385045092
1,0,1,1,9.02,9.85,37,26.0027,4.356708826689592
1,0,1,1,9.02,10.605,41,19.0012,4.174387269895637
1,0,1,1,9.84,12.12,38,11.0014,4.23410650459726
1,0,1,1,9.02,12.12,41,7.0015,4.51085950651685
1,0,1,1,9.02,11.365,41,11.0014,5.075173815233827
1,0,1,1,8.2,12.88,47,0.0,4.941642422609304
1,0,1,1,6.56,9.85,59,6.0032,4.532599493153255
1,0,1,1,7.38,12.12,59,0.0,4.23410650459726
1,0,1,1,6.56,11.365,69,0.0,3.9702919135521215
1,0,1,2,6.56,11.365,69,0.0,3.6109179126442243
1,0,1,2,7.38,12.12,55,0.0,3.332204510175204
1,0,0,1,7.38,12.12,55,0.0,3.3672958299864737
1,0,0,2,6.56,9.85,59,6.0032,3.044522437723423
1,0,0,2,6.56,9.85,59,6.0032,2.5649493574615367
1,0,0,2,6.56,11.365,59,0.0,2.197224577336219
1,0,0,2,6.56,11.365,59,0.0,1.791759469228055
1,0,0,1,6.56,11.365,59,0.0,0.6931471805599453
1,0,0,1,5.74,8.335,63,7.0015,1.3862943611198906
1,0,0,1,5.74,10.605,63,0.0,2.3978952727983707
1,0,0,1,5.74,7.575,63,8.9981,3.1780538303479453
1,0,0,1,6.56,9.09,64,8.9981,3.526360524616161
1,0,0,1,7.38,9.85,59,11.0014,4.0943445622221
1,0,0,1,8.2,9.85,55,15.0013,4.290459441148391
1,0,0,1,9.84,11.365,48,15.0013,4.499809670330265
1,0,0,1,11.48,12.88,38,19.9995,4.624972813284271
1,0,0,1,12.3,14.395,39,19.0012,4.77912349311153
1,0,0,2,13.12,15.91,36,12.998,4.867534450455582
1,0,0,2,13.94,16.665,34,12.998,4.859812404361672
1,0,0,2,13.12,15.15,36,19.0012,4.430816798843313
1,0,0,2,12.3,14.395,45,16.9979,4.442651256490317
1,0,0,2,13.12,15.15,39,16.9979,4.31748811353631
1,0,0,2,13.12,15.15,39,16.9979,3.737669618283368
1,0,0,2,13.12,15.15,39,15.0013,4.060443010546419
1,0,0,2,12.3,15.91,42,7.0015,3.295836866004329
1,0,0,1,12.3,14.395,45,19.0012,3.8066624897703196
1,0,0,1,10.66,15.15,56,0.0,3.6888794541139363
1,0,0,1,10.66,13.635,56,8.9981,3.1780538303479453
1,0,0,1,10.66,14.395,56,6.0032,2.833213344056216
1,0,0,1,9.02,13.635,69,0.0,2.772588722239781
1,0,0,1,10.66,12.88,56,11.0014,0.6931471805599453
1,0,0,2,10.66,12.88,56,11.0014,1.0986122886681096
1,0,0,2,10.66,12.88,56,11.0014,0.6931471805599453
1,0,0,2,9.84,10.605,56,19.9995,1.3862943611198906
1,0,0,1,9.02,10.605,55,19.0012,2.9444389791664403
1,0,0,1,9.02,10.605,51,16.9979,3.4965075614664802
1,0,0,1,9.02,10.605,51,19.0012,4.382026634673881
1,0,0,1,9.84,11.365,44,16.9979,4.543294782270004
1,0,0,1,9.84,10.605,41,19.0012,4.653960350157523
1,0,0,1,10.66,11.365,35,19.9995,4.77912349311153
1,0,0,1,11.48,13.635,36,16.9979,4.5217885770490405
1,0,0,1,10.66,12.12,38,16.9979,4.736198448394496
1,0,0,1,9.84,11.365,38,15.0013,4.605170185988091
1,0,0,1,9.02,10.605,37,16.9979,4.663439094112067
1,0,0,1,8.2,10.605,40,11.0014,4.219507705176107
1,0,0,1,7.38,9.85,47,8.9981,4.127134385045092
1,0,0,1,7.38,9.85,47,11.0014,4.060443010546419
1,0,0,1,7.38,9.85,51,11.0014,3.3672958299864737
1,0,0,2,8.2,10.605,49,8.9981,3.0910424533583156
1,0,0,2,8.2,11.365,40,7.0015,2.9444389791664403
1,1,0,2,8.2,9.85,47,15.0013,2.8903717578961645
1,1,0,2,8.2,9.85,44,12.998,2.833213344056216
1,1,0,2,7.38,8.335,43,16.9979,2.197224577336219
1,1,0,2,7.38,9.09,43,12.998,1.0986122886681096
1,1,0,2,7.38,9.85,43,8.9981,1.3862943611198906
1,1,0,2,7.38,9.85,43,11.0014,0.6931471805599453
1,1,0,2,7.38,9.09,43,12.998,1.791759469228055
1,1,0,2,6.56,9.09,50,8.9981,2.6390573296152584
1,1,0,2,6.56,7.575,47,15.0013,3.526360524616161
1,1,0,2,6.56,7.575,47,15.0013,3.8712010109078907
1,1,0,2,6.56,7.575,50,16.9979,4.060443010546419
1,1,0,2,6.56,7.575,55,12.998,4.174387269895637
1,1,0,2,7.38,9.85,47,8.9981,4.394449154672438
1,1,0,2,7.38,9.85,47,8.9981,4.543294782270004
1,1,0,2,7.38,10.605,43,7.0015,4.465908118654584
1,1,0,2,8.2,10.605,47,11.0014,4.543294782270004
1,1,0,2,8.2,10.605,47,11.0014,4.418840607796597
1,1,0,1,8.2,9.85,51,12.998,4.276666119016055
1,1,0,2,7.38,8.335,55,16.9979,4.532599493153255
1,1,0,3,7.38,9.09,59,12.998,4.110873864173311
1,1,0,3,6.56,7.575,80,12.998,3.526360524616161
1,1,0,3,6.56,7.575,80,12.998,3.332204510175204
1,1,0,3,5.74,6.06,93,16.9979,2.6390573296152584
1,1,0,3,6.56,6.82,86,19.0012,1.6094379124341003
1,0,1,2,8.2,9.09,86,22.0028,1.3862943611198906
1,0,1,2,8.2,9.85,86,15.0013,3.1354942159291497
1,0,1,2,9.02,11.365,80,11.0014,3.3672958299864737
1,0,1,2,9.02,11.365,87,11.0014,3.58351893845611
1,0,1,2,9.02,11.365,87,12.998,4.127134385045092
1,0,1,2,9.02,11.365,82,12.998,4.836281906951478
1,0,1,2,9.02,11.365,80,11.0014,4.897839799950911
1,0,1,2,9.02,11.365,80,8.9981,4.605170185988091
1,0,1,2,9.02,13.635,87,0.0,4.430816798843313
1,0,1,2,9.02,12.12,93,7.0015,3.737669618283368
1,0,1,2,9.02,12.88,93,6.0032,3.526360524616161
1,0,1,2,9.02,13.635,93,0.0,3.044522437723423
1,0,1,2,9.02,13.635,93,0.0,1.3862943611198906
1,0,1,3,9.02,11.365,93,8.9981,2.0794415416798357
1,0,1,3,9.02,11.365,93,8.9981,1.3862943611198906
1,0,1,3,9.02,11.365,93,8.9981,1.0986122886681096
1,0,1,2,9.02,12.88,93,6.0032,2.0794415416798357
1,0,1,2,9.02,12.88,93,6.0032,3.4965075614664802
1,0,1,2,9.84,12.88,92,7.0015,4.51085950651685
1,0,1,2,9.84,12.88,93,7.0015,5.288267030694535
1,0,1,2,9.84,12.88,93,7.0015,4.700480365792416
1,0,1,2,10.66,13.635,93,8.9981,3.8712010109078907
1,0,1,2,11.48,15.15,87,6.0032,3.9702919135521215
1,0,1,2,12.3,15.91,81,6.0032,4.2626798770413155
1,0,1,1,16.4,20.455,62,19.0012,4.3694478524670215
1,0,1,1,16.4,20.455,58,16.9979,4.330733340286331
1,0,1,1,16.4,20.455,54,19.0012,4.418840607796597
1,0,1,1,15.58,19.695,58,26.0027,4.653960350157523
1,0,1,1,14.76,16.665,57,22.0028,5.288267030694535
1,0,1,1,13.94,15.91,61,19.0012,5.087596335232384
1,0,1,1,13.12,14.395,57,27.9993,4.727387818712341
1,0,1,1,13.12,15.15,49,19.9995,4.343805421853684
1,0,1,1,13.12,14.395,49,27.9993,4.0943445622221
1,0,1,1,12.3,15.15,52,11.0014,4.0943445622221
1,0,1,1,12.3,13.635,52,31.0009,3.3672958299864737
1,0,1,2,6.56,9.09,64,7.0015,2.197224577336219
1,0,1,2,6.56,9.09,69,7.0015,1.3862943611198906
1,0,1,2,6.56,11.365,69,0.0,1.0986122886681096
1,0,1,2,6.56,11.365,69,0.0,1.0986122886681096
1,0,1,3,5.74,10.605,93,0.0,1.3862943611198906
1,0,1,3,5.74,10.605,93,0.0,3.1354942159291497
1,0,1,3,6.56,11.365,93,0.0,3.9702919135521215
1,0,1,3,6.56,11.365,93,0.0,4.9126548857360515
1,0,1,2,6.56,11.365,93,0.0,4.762173934797756
1,0,1,2,6.56,11.365,93,0.0,3.8712010109078907
1,0,1,2,7.38,12.12,86,0.0,3.951243718581427
1,0,1,2,8.2,12.88,86,0.0,4.025351690735149
1,0,1,2,8.2,12.88,86,0.0,3.9702919135521215
1,0,1,2,9.02,12.88,80,6.0032,4.007333185232471
1,0,1,2,9.84,14.395,75,0.0,3.9702919135521215
